time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),carbon_dioxide (ppm),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),us_aqi (USAQI)
2022-08-05T00:00,31.7,22.2,478.0,NaN,14.1,5.2,58
2022-08-05T01:00,29.7,20.8,435.0,NaN,11.6,4.5,59
2022-08-05T02:00,25.3,17.7,374.0,NaN,8.2,3.5,59
2022-08-05T03:00,23.1,16.2,303.0,NaN,4.3,2.5,60
2022-08-05T04:00,20.3,14.2,272.0,NaN,2.9,2.0,60
2022-08-05T05:00,20.0,14.0,250.0,NaN,2.2,1.8,61
2022-08-05T06:00,20.0,14.0,231.0,NaN,1.6,1.5,61
2022-08-05T07:00,20.2,14.1,223.0,NaN,1.4,1.5,61
2022-08-05T08:00,20.8,14.6,221.0,NaN,1.5,1.5,61
2022-08-05T09:00,21.4,15.0,223.0,NaN,2.0,1.6,61
2022-08-05T10:00,21.7,15.2,213.0,NaN,1.7,1.6,61
2022-08-05T11:00,23.0,16.1,202.0,NaN,1.4,1.6,62
2022-08-05T12:00,20.3,14.2,244.0,NaN,5.4,1.9,62
2022-08-05T13:00,25.0,17.5,371.0,NaN,16.9,2.3,63
2022-08-05T14:00,35.6,24.9,549.0,NaN,33.0,3.0,63
2022-08-05T15:00,39.2,27.5,700.0,NaN,46.3,3.5,63
2022-08-05T16:00,32.2,22.6,659.0,NaN,41.9,3.4,64
2022-08-05T17:00,28.9,20.3,543.0,NaN,30.3,3.0,64
2022-08-05T18:00,26.0,18.2,417.0,NaN,17.2,2.5,63
2022-08-05T19:00,26.8,18.8,405.0,NaN,14.6,2.6,63
2022-08-05T20:00,27.9,19.6,426.0,NaN,14.6,2.8,63
2022-08-05T21:00,30.0,21.0,452.0,NaN,14.9,3.1,63
2022-08-05T22:00,31.3,21.9,458.0,NaN,14.0,3.3,63
2022-08-05T23:00,31.5,22.1,461.0,NaN,13.1,3.5,64
2022-08-06T00:00,34.0,23.8,497.0,NaN,13.0,3.7,64
2022-08-06T01:00,32.0,22.4,452.0,NaN,11.6,3.6,64
2022-08-06T02:00,27.5,19.3,389.0,NaN,9.4,3.5,64
2022-08-06T03:00,24.7,17.3,319.0,NaN,6.8,3.5,64
2022-08-06T04:00,25.3,17.7,296.0,NaN,5.2,3.4,64
2022-08-06T05:00,26.5,18.5,285.0,NaN,3.8,3.3,65
2022-08-06T06:00,26.9,18.8,274.0,NaN,2.7,3.0,65
2022-08-06T07:00,25.1,17.6,259.0,NaN,2.3,2.6,65
2022-08-06T08:00,23.6,16.5,244.0,NaN,2.5,2.0,66
2022-08-06T09:00,23.9,16.7,234.0,NaN,3.2,1.6,66
2022-08-06T10:00,23.7,16.6,231.0,NaN,3.6,1.9,66
