time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),wind_speed_10m (km/h),wind_speed_100m (km/h),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³)
2022-08-05T00:00,20.3,98,23.7,3.1,4.4,0.426,0.429
2022-08-05T01:00,21.0,96,24.8,1.8,3.0,0.425,0.428
2022-08-05T02:00,21.7,93,25.4,3.1,4.4,0.424,0.427
2022-08-05T03:00,23.2,86,27.0,3.1,4.0,0.423,0.426
2022-08-05T04:00,25.1,76,28.9,2.1,2.6,0.421,0.425
2022-08-05T05:00,25.9,71,29.9,0.0,0.4,0.418,0.424
2022-08-05T06:00,26.7,68,30.9,3.1,3.9,0.416,0.422
2022-08-05T07:00,26.7,70,31.5,6.9,9.0,0.413,0.421
2022-08-05T08:00,25.5,75,29.9,3.6,4.1,0.427,0.423
2022-08-05T09:00,24.6,82,28.6,3.3,3.7,0.424,0.423
2022-08-05T10:00,25.1,82,29.3,4.1,5.5,0.422,0.423
2022-08-05T11:00,25.0,82,29.3,3.2,3.9,0.420,0.422
2022-08-05T12:00,23.2,86,26.7,4.9,7.2,0.424,0.426
2022-08-05T13:00,23.3,85,27.1,1.9,2.9,0.423,0.425
2022-08-05T14:00,22.0,93,25.8,3.2,4.5,0.422,0.424
2022-08-05T15:00,22.2,93,25.9,3.9,6.6,0.430,0.425
2022-08-05T16:00,21.7,96,25.7,2.3,5.4,0.428,0.429
2022-08-05T17:00,21.6,94,25.5,1.8,4.2,0.426,0.428
2022-08-05T18:00,21.4,93,24.9,3.0,5.8,0.424,0.428
2022-08-05T19:00,21.1,95,24.7,2.8,5.8,0.424,0.427
2022-08-05T20:00,20.8,96,24.2,3.6,7.6,0.425,0.426
2022-08-05T21:00,20.3,97,23.8,1.8,3.9,0.430,0.430
2022-08-05T22:00,20.1,99,23.4,3.5,5.6,0.430,0.430
2022-08-05T23:00,20.2,98,23.3,4.8,6.6,0.427,0.429
2022-08-06T00:00,20.5,95,23.7,3.6,4.7,0.428,0.428
2022-08-06T01:00,21.2,95,24.8,3.3,3.2,0.425,0.428
2022-08-06T02:00,22.7,88,26.5,2.2,3.3,0.424,0.427
2022-08-06T03:00,23.6,84,27.2,4.1,5.4,0.422,0.426
2022-08-06T04:00,24.6,79,28.4,2.5,3.5,0.421,0.425
2022-08-06T05:00,25.7,77,30.3,3.4,4.4,0.419,0.424
2022-08-06T06:00,25.9,74,29.7,3.4,4.6,0.420,0.423
2022-08-06T07:00,25.7,77,30.0,6.0,7.3,0.430,0.425
2022-08-06T08:00,25.2,77,28.9,4.4,5.5,0.427,0.428
2022-08-06T09:00,25.4,77,29.1,4.3,5.0,0.426,0.427
2022-08-06T10:00,25.7,77,29.7,3.3,4.3,0.423,0.427
2022-08-06T11:00,24.7,80,28.6,3.1,4.1,0.423,0.426
2022-08-06T12:00,23.7,83,27.5,2.5,4.0,0.421,0.423
2022-08-06T13:00,22.5,89,26.5,1.4,2.2,0.428,0.425
2022-08-06T14:00,22.0,93,26.0,1.9,2.8,0.428,0.427
2022-08-06T15:00,21.7,95,25.4,3.8,6.2,0.429,0.429
2022-08-06T16:00,21.9,95,26.0,2.0,4.4,0.429,0.429
2022-08-06T17:00,21.8,95,25.6,2.9,5.2,0.430,0.430
2022-08-06T18:00,21.5,96,25.3,3.7,6.8,0.430,0.429
2022-08-06T19:00,21.0,94,24.0,5.5,11.4,0.428,0.430
2022-08-06T20:00,20.9,94,24.2,4.1,8.5,0.426,0.429
2022-08-06T21:00,20.7,93,23.7,4.4,10.0,0.425,0.428
2022-08-06T22:00,20.6,94,23.5,4.9,10.6,0.423,0.427
2022-08-06T23:00,20.4,94,23.4,3.6,7.3,0.422,0.426
2022-08-07T00:00,20.3,95,23.5,2.5,2.1,0.422,0.425
2022-08-07T01:00,21.5,92,24.7,4.4,5.8,0.421,0.425
2022-08-07T02:00,23.6,82,27.3,2.3,3.9,0.420,0.424
2022-08-07T03:00,25.0,76,28.8,1.4,1.1,0.418,0.423
2022-08-07T04:00,26.3,70,30.6,2.5,2.5,0.417,0.422
2022-08-07T05:00,26.8,72,32.1,4.3,5.1,0.415,0.421
2022-08-07T06:00,27.3,66,32.2,5.1,6.4,0.427,0.421
2022-08-07T07:00,26.1,71,30.6,5.0,6.8,0.430,0.430
2022-08-07T08:00,25.4,75,28.7,5.3,7.5,0.426,0.429
2022-08-07T09:00,25.3,73,28.8,2.4,2.6,0.427,0.428
2022-08-07T10:00,23.8,81,27.5,2.6,3.3,0.426,0.427
2022-08-07T11:00,24.4,79,28.2,2.4,3.9,0.424,0.427
2022-08-07T12:00,23.4,86,27.4,2.1,2.0,0.423,0.427
2022-08-07T13:00,22.2,93,26.2,2.8,5.9,0.422,0.426
2022-08-07T14:00,21.9,93,25.6,3.3,6.2,0.421,0.426
2022-08-07T15:00,21.5,94,25.1,3.3,4.2,0.420,0.425
2022-08-07T16:00,21.2,94,24.9,2.2,2.4,0.420,0.424
2022-08-07T17:00,20.8,94,24.3,1.8,1.9,0.419,0.423
2022-08-07T18:00,20.7,93,24.1,1.8,1.5,0.418,0.423
2022-08-07T19:00,20.4,93,23.6,2.2,1.8,0.417,0.422
2022-08-07T20:00,20.1,94,23.2,2.5,1.9,0.417,0.421
2022-08-07T21:00,19.9,94,22.8,2.9,3.3,0.416,0.421
2022-08-07T22:00,19.6,95,22.5,2.5,1.6,0.416,0.420
2022-08-07T23:00,19.5,95,22.3,2.5,1.3,0.415,0.420
2022-08-08T00:00,19.5,97,22.6,1.8,0.0,0.411,0.417
2022-08-08T01:00,21.5,92,24.7,4.6,3.8,0.410,0.417
2022-08-08T02:00,23.8,80,27.4,1.4,1.9,0.410,0.416
2022-08-08T03:00,25.2,75,28.9,1.6,1.3,0.408,0.415
2022-08-08T04:00,27.1,67,31.6,2.3,2.6,0.406,0.414
2022-08-08T05:00,28.4,64,34.2,2.5,2.6,0.403,0.413
2022-08-08T06:00,27.4,67,33.4,1.6,2.1,0.430,0.421
2022-08-08T07:00,26.0,71,29.5,3.3,4.8,0.423,0.422
2022-08-08T08:00,27.1,69,31.6,3.1,4.5,0.422,0.422
2022-08-08T09:00,24.7,78,28.2,5.4,6.3,0.422,0.422
2022-08-08T10:00,24.1,82,28.2,1.3,1.3,0.421,0.421
2022-08-08T11:00,23.8,86,27.9,2.9,3.3,0.419,0.421
2022-08-08T12:00,23.0,88,27.0,2.2,2.3,0.417,0.417
2022-08-08T13:00,22.3,94,26.6,1.8,2.6,0.416,0.417
2022-08-08T14:00,21.6,97,25.6,2.7,2.9,0.415,0.417
2022-08-08T15:00,21.7,96,25.5,3.6,7.6,0.414,0.417
2022-08-08T16:00,21.8,96,25.7,3.1,2.6,0.413,0.416
2022-08-08T17:00,21.5,94,25.4,1.9,1.9,0.412,0.416
2022-08-08T18:00,21.3,95,25.0,2.3,4.9,0.412,0.416
2022-08-08T19:00,21.1,95,24.7,2.5,4.1,0.411,0.415
2022-08-08T20:00,21.0,95,24.5,2.5,3.5,0.411,0.415
2022-08-08T21:00,20.6,95,24.1,1.4,1.8,0.410,0.415
2022-08-08T22:00,20.5,94,23.7,2.3,3.4,0.410,0.415
2022-08-08T23:00,20.2,94,23.3,2.5,3.7,0.409,0.414
2022-08-09T00:00,20.0,95,23.0,2.5,3.3,0.412,0.416
2022-08-09T01:00,21.6,95,25.2,3.8,2.7,0.411,0.415
2022-08-09T02:00,23.8,81,27.4,2.5,3.6,0.411,0.415
2022-08-09T03:00,25.7,75,29.8,1.3,1.3,0.409,0.415
2022-08-09T04:00,27.1,69,31.7,2.4,2.5,0.407,0.414
2022-08-09T05:00,27.6,67,32.8,3.8,4.8,0.409,0.413
2022-08-09T06:00,25.9,73,31.2,2.4,2.9,0.413,0.413
2022-08-09T07:00,27.2,69,31.9,2.3,2.6,0.410,0.412
2022-08-09T08:00,27.2,68,31.7,4.7,5.8,0.410,0.411
2022-08-09T09:00,26.8,73,30.8,3.6,4.0,0.410,0.411
2022-08-09T10:00,27.2,69,31.3,2.2,2.5,0.409,0.411
2022-08-09T11:00,26.7,72,30.9,1.8,2.3,0.407,0.410
2022-08-09T12:00,25.6,79,29.5,5.1,6.6,0.406,0.415
2022-08-09T13:00,24.7,80,28.8,1.5,2.7,0.406,0.414
2022-08-09T14:00,24.0,88,28.6,1.4,4.1,0.407,0.414
2022-08-09T15:00,22.6,91,26.7,1.8,1.1,0.421,0.414
2022-08-09T16:00,22.2,92,26.1,2.3,5.3,0.422,0.414
2022-08-09T17:00,21.6,95,25.6,2.3,3.2,0.427,0.421
2022-08-09T18:00,21.6,93,25.5,1.6,2.9,0.425,0.422
2022-08-09T19:00,21.1,96,25.0,1.8,4.1,0.423,0.423
2022-08-09T20:00,21.1,95,24.8,2.1,3.2,0.421,0.422
2022-08-09T21:00,20.6,96,24.2,1.8,1.5,0.419,0.422
2022-08-09T22:00,20.5,95,23.7,4.0,5.8,0.418,0.421
